,True,ABE_preds,ART_preds,BAS_preds,BLA_preds,EBO_preds,EOS_preds,FGC_preds,HAC_preds,KSC_preds,LYI_preds,LYT_preds,MMZ_preds,MON_preds,MYB_preds,NGB_preds,NGS_preds,NIF_preds,OTH_preds,PEB_preds,PLM_preds,PMO_preds,Pred
0,0,0.60070324,0.13550892,0.95761144,0.53904396,0.9987431,0.0035742214,0.35182762,0.6673801,0.9981687,0.9993906,0.9781677,0.0062040174,0.91025925,0.4387882,0.79076093,0.99999964,0.77619445,0.99996114,0.9997043,0.8183225,0.98899406,5
1,0,0.6005837,0.9825896,0.99395156,0.482918,0.9786354,0.99944025,0.32986692,0.66720617,0.99991584,0.99949324,0.9986733,0.9982862,0.7068245,0.99368435,0.9904231,1.0,0.6811435,0.9925311,0.9983854,0.84178126,0.008729051,20
2,1,0.60151464,0.0628681,0.5890978,0.55315095,0.99953103,0.9275311,0.5383132,0.666766,0.01776941,0.9999747,0.9960288,0.93841785,0.994896,0.9978624,0.98697877,1.0,0.48101583,0.77003664,0.99593425,0.99874,0.9981396,8
3,1,0.6007848,0.013645952,0.6287737,0.56519496,0.99934727,0.999949,0.72024196,0.6670208,0.9999399,0.9999999,0.7140924,0.99944705,0.9654027,0.9971687,0.9937854,0.9999999,0.31582695,0.99718094,0.9981535,0.9701157,0.999987,1
4,1,0.59991777,0.4798217,0.908436,0.5391867,0.99761367,0.99992,0.4787841,0.66705745,0.9999417,0.99997115,0.98386467,0.6033752,0.94294083,0.29035246,0.7333335,0.99997985,0.83191127,0.9981345,0.9994259,0.9177599,0.8087973,13
5,1,0.6005439,0.05153969,0.34286597,0.79426265,0.9978726,0.99993753,0.5061931,0.6672231,0.0005255047,0.99999356,0.95471454,0.9997373,0.9982603,0.99591285,0.4333306,0.6754992,0.1441846,0.6743316,0.9999907,0.9954874,0.99996984,8
6,1,0.60089254,0.63938594,0.58320796,0.65999705,0.9982322,0.99598664,0.58584523,0.66682106,0.66572535,0.99977475,0.9953318,0.999275,0.99204516,0.9995454,0.32682925,0.9984055,0.32056502,0.9973232,0.99999416,0.9939173,0.99896276,16
7,1,0.6008909,0.04318755,0.5334376,0.34481877,0.9998204,0.99997175,0.7292757,0.66712546,0.9998808,0.9872634,0.9891165,0.99959,0.9920311,0.98714197,0.9923258,1.0,0.5258027,0.8500768,0.98855186,0.966441,0.9665022,1
8,1,0.6012832,0.00080787303,0.3443992,0.58351517,0.9988613,0.9870063,0.4417398,0.6677924,0.9934946,0.6902243,0.18577413,0.9973807,0.9847341,0.9820625,0.60281056,0.9981091,0.62177116,0.9999902,0.9999943,0.98080736,0.99999344,1
9,1,0.60096455,0.16614841,0.76324856,0.60422486,0.9844824,0.998444,0.38482296,0.66766983,0.99999976,0.99681324,0.8890625,0.51457494,0.99689925,0.9994616,0.081131354,0.24977055,0.56648725,0.9998826,0.9999989,0.9213026,0.9996025,14
10,1,0.60031503,0.00048368302,0.26895523,0.4494733,0.99948657,0.9809132,0.5961803,0.66677475,0.99991584,0.9719928,0.84310704,0.9999974,0.9302059,0.9832166,0.898447,0.9999422,0.34391063,0.9996383,0.9996166,0.9610369,0.99981624,1
11,1,0.60100436,0.006998047,0.86614776,0.5681665,0.9998165,0.9756444,0.40942696,0.6672746,0.9544081,0.9999926,0.9485304,0.98296875,0.9931631,0.95343554,0.7755487,0.99999976,0.59868443,0.99677545,0.9900742,0.96523,0.9995628,1
12,1,0.59946907,0.10465608,0.362113,0.85699904,0.99077094,0.999997,0.3551038,0.6664634,0.90895724,0.9998441,0.9955206,0.9756487,0.99833834,0.95646596,0.89555955,0.9968334,0.09999058,0.99012494,0.9999982,0.998016,0.9999207,16
13,1,0.6012188,0.00058940006,0.7651095,0.52261657,0.9996786,0.9919973,0.5168561,0.66764426,0.54729605,0.99998784,0.91890246,0.999859,0.9942643,0.98384535,0.9266783,1.0,0.49955955,0.9980292,0.9984869,0.98995006,0.9999305,1
14,1,0.6007816,0.004144741,0.99388015,0.80199116,0.9985079,0.99999976,0.62428033,0.6677649,0.87128925,0.99989307,0.99494064,0.9958546,0.96490675,0.99617493,0.92685634,0.9992712,0.48848724,0.8524306,0.99999523,0.9930942,0.98073626,1
15,1,0.6004521,0.016440418,0.39467683,0.6155409,0.9997365,0.99868935,0.57398456,0.66688037,0.99999976,0.9999291,0.9130919,0.9807175,0.972313,0.9952362,0.79076946,0.9999993,0.27763566,0.9560521,0.9999726,0.8910507,0.99990976,1
16,1,0.6008804,0.009081028,0.9225623,0.6997698,0.9992895,0.9992841,0.8528901,0.6673595,0.99999094,0.99999595,0.962289,0.998696,0.9997782,0.9986658,0.801824,0.99642134,0.4926984,0.30551282,0.99991786,0.99322367,0.99997866,1
17,1,0.6004479,0.023350667,0.8863193,0.5361653,0.99893993,0.99640983,0.3351052,0.6672311,0.99996185,0.9982091,0.97552615,0.010946642,0.9699036,0.9279259,0.8257273,0.99961543,0.7745384,0.96849054,0.9999176,0.93014926,0.99930847,11
18,1,0.6018975,0.29255092,0.99412185,0.74156064,0.9997397,0.16427019,0.6042533,0.6673324,0.9771015,1.0,0.9815677,0.96608704,0.9909073,0.9807983,0.25087118,0.999506,0.37916437,0.99414766,0.99998176,0.99918014,0.9996506,5
19,1,0.6010133,0.010589726,0.29174742,0.60692596,0.99917966,0.9999218,0.73848826,0.66763645,0.99991703,0.99998343,0.62397754,0.9874133,0.9938443,0.9674992,0.97781676,0.9999956,0.13415447,0.9444179,0.9999944,0.9881665,0.9995845,1
20,1,0.60037667,0.99832696,0.9050403,0.60263515,0.9959279,0.99988866,0.72631234,0.6667279,1.0,0.999923,0.7258343,0.99990594,0.011051826,0.9964934,0.77027464,0.99999475,0.5807535,0.9999857,0.6041226,0.9795498,0.65096277,12
21,1,0.60133004,0.0029193342,0.8681666,0.6688039,0.99983287,0.9672665,0.50396144,0.66776,0.89338106,0.9999516,0.9593012,0.17361505,0.9946272,0.74615914,0.76453894,0.9996307,0.6762522,0.99995387,0.9999106,0.9902692,0.9997205,1
22,1,0.6008707,0.86273056,0.8282236,0.42428973,0.99855524,0.99987435,0.49186534,0.66661495,1.0,0.9987054,0.9857649,0.9750445,0.9966575,0.9873245,0.97734386,1.0,0.2227737,0.9126084,0.9995634,0.99926347,0.9582342,16
23,1,0.60128874,0.0012498909,0.96940404,0.57657766,0.99922216,0.99715,0.7819589,0.66735274,0.9997696,0.99591464,0.9951324,0.56417567,0.99869835,0.9930393,0.93495446,0.9949297,0.5493295,0.7439949,0.99999857,0.93935716,0.9961747,1
24,1,0.600944,0.08000624,0.30642933,0.5778825,0.99941385,0.9985442,0.7956378,0.666685,0.99850094,0.9912616,0.98497283,0.99901915,0.9993001,0.9979463,0.2069647,0.9988858,0.31771216,0.69976604,0.9989243,0.99464935,0.98345727,1
25,1,0.6013764,0.0134903155,0.8180456,0.6916109,0.9986848,0.8678548,0.4701035,0.66785043,0.98267245,0.99890053,0.28855017,0.88105947,0.9916721,0.99880385,0.12542209,0.02005756,0.79128844,0.9998809,0.99997854,0.98478496,0.9988343,1
26,1,0.60140437,0.3127155,0.31287223,0.6682532,0.9993678,0.9999924,0.8635032,0.6667502,0.028083181,0.9999968,0.9977246,0.80407524,0.99871564,0.99463564,0.42456776,0.9999993,0.45485535,0.9862135,0.99951005,0.9987024,0.9952615,8
27,1,0.6007558,0.012858098,0.5928994,0.5443736,0.9930339,0.029169459,0.6324533,0.66702855,0.9999893,0.8769915,0.99407417,0.9744444,0.99148214,0.9681263,0.37920207,0.9967698,0.26018378,0.9887814,0.9999888,0.96089524,0.98776245,1
28,1,0.60050595,0.07108211,0.6625859,0.63089126,0.2548172,0.95478064,0.5391854,0.667139,0.9999877,0.9973157,0.9404577,0.36673096,0.99666506,0.97973937,0.19197403,0.98658216,0.41750067,0.99595815,0.99978226,0.95206916,0.99993503,1
29,1,0.6009731,0.026449881,0.87787634,0.62388057,0.9992482,0.9995122,0.50172305,0.6672671,0.9967077,0.99999094,0.900405,0.99827707,0.9841764,0.99548435,0.68814427,0.99955124,0.10244833,0.9970488,0.99997616,0.98489374,0.9998385,1
30,1,0.5996462,0.06460945,0.5747097,0.8661847,0.9933955,0.9999999,0.7030795,0.66696405,0.002398566,0.9999962,0.99830794,0.9915937,0.9996164,0.9383638,0.8931034,0.99971324,0.14791323,0.9247165,0.99999774,0.9982157,0.9997049,8
31,1,0.6009204,0.97349596,0.7757876,0.72129947,0.9975038,0.9999757,0.5973269,0.66763055,0.21399105,0.99999535,0.83733284,0.98252904,0.9994823,0.97602344,0.44178656,0.30751836,0.2372637,0.87733877,0.99999917,0.9962658,0.9998549,8
